class_id,synset,count
0,n01440764,130
1,n01443537,130
2,n01484850,130
3,n01491361,130
4,n01494475,130
5,n01496331,130
6,n01498041,130
7,n01514668,130
8,n01514859,130
9,n01518878,130
10,n01530575,130
11,n01531178,130
12,n01532829,130
13,n01534433,130
14,n01537544,130
15,n01558993,130
16,n01560419,130
17,n01580077,130
18,n01582220,130
19,n01592084,130
20,n01601694,130
21,n01608432,130
22,n01614925,130
23,n01616318,130
24,n01622779,130
25,n01629819,130
26,n01630670,130
27,n01631663,130
28,n01632458,130
29,n01632777,130
30,n01641577,130
31,n01644373,130
32,n01644900,130
33,n01664065,130
34,n01665541,130
35,n01667114,130
36,n01667778,130
37,n01669191,130
38,n01675722,130
39,n01677366,130
40,n01682714,130
41,n01685808,130
42,n01687978,130
43,n01688243,112
44,n01689811,130
45,n01692333,130
46,n01693334,130
47,n01694178,130
48,n01695060,130
49,n01697457,130
50,n01698640,130
51,n01704323,127
52,n01728572,130
53,n01728920,130
54,n01729322,130
55,n01729977,130
56,n01734418,130
57,n01735189,130
58,n01737021,130
59,n01739381,130
60,n01740131,130
61,n01742172,130
62,n01744401,108
63,n01748264,130
64,n01749939,130
65,n01751748,130
66,n01753488,130
67,n01755581,130
68,n01756291,130
69,n01768244,130
70,n01770081,130
71,n01770393,130
72,n01773157,130
73,n01773549,130
74,n01773797,130
75,n01774384,130
76,n01774750,130
77,n01775062,130
78,n01776313,130
79,n01784675,130
80,n01795545,130
81,n01796340,130
82,n01797886,130
83,n01798484,130
84,n01806143,130
85,n01806567,130
86,n01807496,130
87,n01817953,130
88,n01818515,130
89,n01819313,130
90,n01820546,130
91,n01824575,130
92,n01828970,130
93,n01829413,130
94,n01833805,130
95,n01843065,130
96,n01843383,130
97,n01847000,130
98,n01855032,115
99,n01855672,130
100,n01860187,130
101,n01871265,130
102,n01872401,130
103,n01873310,128
104,n01877812,130
105,n01882714,130
106,n01883070,130
107,n01910747,130
108,n01914609,130
109,n01917289,130
110,n01924916,130
111,n01930112,130
112,n01943899,130
113,n01944390,130
114,n01945685,130
115,n01950731,130
116,n01955084,130
117,n01968897,130
118,n01978287,130
119,n01978455,130
120,n01980166,130
121,n01981276,130
122,n01983481,130
123,n01984695,130
124,n01985128,130
125,n01986214,130
126,n01990800,130
127,n02002556,130
128,n02002724,130
129,n02006656,130
130,n02007558,130
131,n02009229,130
132,n02009912,130
133,n02011460,130
134,n02012849,130
135,n02013706,130
136,n02017213,130
137,n02018207,130
138,n02018795,130
139,n02025239,130
140,n02027492,130
141,n02028035,130
142,n02033041,130
143,n02037110,130
144,n02051845,130
145,n02056570,130
146,n02058221,130
147,n02066245,115
148,n02071294,130
149,n02074367,130
150,n02077923,130
151,n02085620,130
152,n02085782,78
153,n02085936,130
154,n02086079,130
155,n02086240,130
156,n02086646,130
157,n02086910,130
158,n02087046,86
159,n02087394,130
160,n02088094,130
161,n02088238,130
162,n02088364,130
163,n02088466,130
164,n02088632,114
165,n02089078,74
166,n02089867,103
167,n02089973,76
168,n02090379,129
169,n02090622,130
170,n02090721,130
171,n02091032,130
172,n02091134,130
173,n02091244,130
174,n02091467,130
175,n02091635,74
176,n02091831,130
177,n02092002,130
178,n02092339,130
179,n02093256,130
180,n02093428,130
181,n02093647,126
182,n02093754,130
183,n02093859,128
184,n02093991,130
