class_id,class_name,total,noise_score,corrupted,grayscale,small,low_contrast,near_blank,color_outlier,color_var
n03691459,loudspeaker,1300,8.4,0,15,0,0,0,4,0.0526
n02708093,analog clock,1292,8.0,0,13,1,0,0,3,0.0595
n03297495,espresso maker,1136,7.8,0,14,1,0,0,2,0.0559
n03759954,microphone,1300,7.8,0,12,0,0,0,5,0.0669
n04270147,spatula,1300,7.8,0,7,1,1,0,5,0.0667
n04127249,safety pin,1259,7.2,0,7,1,1,0,4,0.0605
n06785654,crossword puzzle,1300,7.2,0,12,0,0,0,4,0.0408
n01930112,nematode,1300,6.6,0,11,0,1,0,2,0.0941
n04040759,radiator,1253,6.6,0,12,0,0,0,3,0.0423
n02110627,affenpinscher,954,6.4,0,9,1,0,0,3,0.0375
n03532672,hook,1300,6.4,0,10,0,0,0,4,0.0694
n04041544,radio,1300,6.4,0,10,0,0,0,4,0.0622
n04141076,sax,1300,6.4,0,13,0,0,0,2,0.0597
n04228054,ski,1300,6.4,0,5,2,0,0,4,0.0565
n03041632,cleaver,1067,6.2,0,7,1,0,0,4,0.0653
n03492542,hard disc,1300,6.2,0,11,0,0,0,3,0.0571
n04238763,slide rule,1162,6.2,0,6,2,0,0,3,0.0518
n03777754,modem,1149,5.8,0,9,1,0,0,2,0.063
n04485082,tripod,1160,5.8,0,10,0,0,0,3,0.047
n02672831,accordion,1300,5.6,0,8,0,0,0,4,0.0478
n02999410,chain,1300,5.6,0,8,0,0,0,4,0.0562
n03075370,combination lock,1216,5.6,0,11,0,0,0,2,0.0705
n03109150,corkscrew,1300,5.6,0,11,0,0,0,2,0.084
n04265275,space heater,1004,5.6,0,8,0,0,0,4,0.0538
n04355933,sunglass,1300,5.6,0,8,0,0,0,4,0.0568
n04553703,washbasin,1300,5.6,0,7,0,1,0,3,0.0463
n02096585,Boston bull,1300,5.4,0,9,0,0,0,3,0.0327
n02111277,Newfoundland,1300,5.4,0,9,0,0,0,3,0.0407
n02749479,assault rifle,1300,5.4,0,9,0,0,0,3,0.0577
n02795169,barrel,1300,5.4,0,6,0,0,0,5,0.0426
n03180011,desktop computer,1300,5.4,0,9,0,0,0,3,0.0558
n03476991,hair spray,980,5.4,0,3,3,0,0,2,0.0425
n03498962,hatchet,891,5.4,0,4,2,0,0,3,0.0508
n04482393,tricycle,1300,5.4,0,6,0,0,0,5,0.0354
n02916936,bulletproof vest,1176,5.2,0,10,0,0,0,2,0.0629
n03085013,computer keyboard,1300,5.2,0,10,0,0,0,2,0.0426
n03424325,gasmask,1300,5.2,0,7,0,0,0,4,0.0573
n03452741,grand piano,1300,5.2,0,7,0,0,0,4,0.0457
n03602883,joystick,1300,5.2,0,7,0,0,0,4,0.0548
n04005630,prison,1300,5.2,0,6,0,1,0,3,0.0348
n04009552,projector,1300,5.2,0,7,0,0,0,4,0.047
n04023962,punching bag,1247,5.2,0,3,1,0,0,5,0.0438
n04505470,typewriter keyboard,1300,5.2,0,10,0,0,0,2,0.0516
n04536866,violin,1300,5.2,0,7,0,0,0,4,0.0485
n01855032,red-breasted merganser,1141,5.0,0,4,1,0,0,4,0.0538
n02085782,Japanese spaniel,772,5.0,0,4,1,0,0,4,0.0398
n03494278,harmonica,1300,5.0,0,4,1,0,0,4,0.0559
n04311004,steel arch bridge,1153,5.0,0,8,0,0,0,3,0.0388
n04317175,stethoscope,1300,5.0,0,5,0,0,0,5,0.0622
n01873310,platypus,1272,4.8,0,0,2,1,0,3,0.05
