class_id,class_name,num_images
n01440764,tench,1300
n01443537,goldfish,1300
n01484850,great white shark,1300
n01491361,tiger shark,1300
n01494475,hammerhead,1300
n01496331,electric ray,1300
n01498041,stingray,1300
n01514668,cock,1300
n01514859,hen,1300
n01518878,ostrich,1300
n01530575,brambling,1300
n01531178,goldfinch,1300
n01532829,house finch,1300
n01534433,junco,1300
n01537544,indigo bunting,1300
n01558993,robin,1300
n01560419,bulbul,1300
n01580077,jay,1300
n01582220,magpie,1300
n01592084,chickadee,1300
n01601694,water ouzel,1300
n01608432,kite,1300
n01614925,bald eagle,1300
n01616318,vulture,1300
n01622779,great grey owl,1300
n01629819,European fire salamander,1300
n01630670,common newt,1300
n01631663,eft,1300
n01632458,spotted salamander,1300
n01632777,axolotl,1300
n01641577,bullfrog,1300
n01644373,tree frog,1300
n01644900,tailed frog,1300
n01664065,loggerhead,1300
n01665541,leatherback turtle,1300
n01667114,mud turtle,1300
n01667778,terrapin,1300
n01669191,box turtle,1300
n01675722,banded gecko,1300
n01677366,common iguana,1300
n01682714,American chameleon,1300
n01685808,whiptail,1300
n01687978,agama,1300
n01689811,alligator lizard,1300
n01692333,Gila monster,1300
n01693334,green lizard,1300
n01694178,African chameleon,1300
n01695060,Komodo dragon,1300
n01697457,African crocodile,1300
n01698640,American alligator,1300
n01728572,thunder snake,1300
n01728920,ringneck snake,1300
n01729322,hognose snake,1300
n01729977,green snake,1300
n01734418,king snake,1300
n01735189,garter snake,1300
n01737021,water snake,1300
n01739381,vine snake,1300
n01740131,night snake,1300
n01742172,boa constrictor,1300
n01748264,Indian cobra,1300
n01749939,green mamba,1300
n01751748,sea snake,1300
n01753488,horned viper,1300
n01755581,diamondback,1300
n01756291,sidewinder,1300
n01768244,trilobite,1300
n01770081,harvestman,1300
n01770393,scorpion,1300
n01773157,black and gold garden spider,1300
n01773549,barn spider,1300
n01773797,garden spider,1300
n01774384,black widow,1300
n01774750,tarantula,1300
n01775062,wolf spider,1300
n01776313,tick,1300
n01784675,centipede,1300
n01795545,black grouse,1300
n01796340,ptarmigan,1300
n01797886,ruffed grouse,1300
n01798484,prairie chicken,1300
n01806143,peacock,1300
n01806567,quail,1300
n01807496,partridge,1300
n01817953,African grey,1300
n01818515,macaw,1300
n01819313,sulphur-crested cockatoo,1300
n01820546,lorikeet,1300
n01824575,coucal,1300
n01828970,bee eater,1300
n01829413,hornbill,1300
n01833805,hummingbird,1300
n01843065,jacamar,1300
n01843383,toucan,1300
n01847000,drake,1300
n01855672,goose,1300
n01860187,black swan,1300
n01871265,tusker,1300
n01872401,echidna,1300
n01877812,wallaby,1300
n01882714,koala,1300
n01883070,wombat,1300
n01910747,jellyfish,1300
n01914609,sea anemone,1300
n01917289,brain coral,1300
n01924916,flatworm,1300
n01930112,nematode,1300
n01943899,conch,1300
n01944390,snail,1300
n01945685,slug,1300
n01950731,sea slug,1300
n01955084,chiton,1300
n01968897,chambered nautilus,1300
n01978287,Dungeness crab,1300
n01978455,rock crab,1300
n01980166,fiddler crab,1300
n01981276,king crab,1300
n01983481,American lobster,1300
n01984695,spiny lobster,1300
n01985128,crayfish,1300
n01986214,hermit crab,1300
n01990800,isopod,1300
n02002556,white stork,1300
n02002724,black stork,1300
n02006656,spoonbill,1300
n02007558,flamingo,1300
n02009229,little blue heron,1300
n02009912,American egret,1300
n02011460,bittern,1300
n02012849,crane,1300
n02013706,limpkin,1300
n02017213,European gallinule,1300
n02018207,American coot,1300
n02018795,bustard,1300
n02025239,ruddy turnstone,1300
n02027492,red-backed sandpiper,1300
n02028035,redshank,1300
n02033041,dowitcher,1300
n02037110,oystercatcher,1300
n02051845,pelican,1300
n02056570,king penguin,1300
n02058221,albatross,1300
n02071294,killer whale,1300
n02074367,dugong,1300
n02077923,sea lion,1300
n02085620,Chihuahua,1300
n02085936,Maltese dog,1300
n02086079,Pekinese,1300
n02086240,Shih-Tzu,1300
n02086646,Blenheim spaniel,1300
n02086910,papillon,1300
n02087394,Rhodesian ridgeback,1300
n02088094,Afghan hound,1300
n02088238,basset,1300
n02088364,beagle,1300
n02088466,bloodhound,1300
n02090622,borzoi,1300
n02090721,Irish wolfhound,1300
n02091032,Italian greyhound,1300
n02091134,whippet,1300
n02091244,Ibizan hound,1300
n02091467,Norwegian elkhound,1300
n02091831,Saluki,1300
n02092002,Scottish deerhound,1300
n02092339,Weimaraner,1300
n02093256,Staffordshire bullterrier,1300
n02093428,American Staffordshire terrier,1300
n02093754,Border terrier,1300
n02093991,Irish terrier,1300
n02094114,Norfolk terrier,1300
n02094258,Norwich terrier,1300
n02094433,Yorkshire terrier,1300
n02095570,Lakeland terrier,1300
n02096051,Airedale,1300
n02096177,cairn,1300
n02096294,Australian terrier,1300
n02096585,Boston bull,1300
n02097047,miniature schnauzer,1300
n02097130,giant schnauzer,1300
n02097209,standard schnauzer,1300
n02097298,Scotch terrier,1300
n02097474,Tibetan terrier,1300
n02097658,silky terrier,1300
n02098105,soft-coated wheaten terrier,1300
n02098286,West Highland white terrier,1300
n02098413,Lhasa,1300
n02099267,flat-coated retriever,1300
n02099601,golden retriever,1300
n02099712,Labrador retriever,1300
n02099849,Chesapeake Bay retriever,1300
n02100236,German short-haired pointer,1300
n02100583,vizsla,1300
n02100735,English setter,1300
n02100877,Irish setter,1300
n02101006,Gordon setter,1300
n02101388,Brittany spaniel,1300
n02101556,clumber,1300
n02102040,English springer,1300
n02102177,Welsh springer spaniel,1300
n02102318,cocker spaniel,1300
n02102480,Sussex spaniel,1300
n02104029,kuvasz,1300
n02104365,schipperke,1300
n02105056,groenendael,1300
n02105162,malinois,1300
n02105251,briard,1300
n02105412,kelpie,1300
n02105505,komondor,1300
n02105641,Old English sheepdog,1300
n02105855,Shetland sheepdog,1300
n02106030,collie,1300
n02106166,Border collie,1300
n02106382,Bouvier des Flandres,1300
n02106550,Rottweiler,1300
n02106662,German shepherd,1300
n02107142,Doberman,1300
n02107312,miniature pinscher,1300
n02107574,Greater Swiss Mountain dog,1300
n02107683,Bernese mountain dog,1300
n02107908,Appenzeller,1300
n02108000,EntleBucher,1300
n02108089,boxer,1300
n02108422,bull mastiff,1300
n02108551,Tibetan mastiff,1300
n02108915,French bulldog,1300
n02109047,Great Dane,1300
