epoch,train_loss,train_acc,val_top1,val_top5,best_val_top1,lr,epoch_time_sec,loss,loss_params
1,6.8155,0.45,0.1,0.5,0.1,,2006.8,CrossEntropyLoss,{}
2,5.5909,7.73,0.14,0.57,0.14,,1860.0,CrossEntropyLoss,{}
3,4.5333,21.22,0.1,0.5,0.14,,1846.8,CrossEntropyLoss,{}
4,3.9732,31.09,0.1,0.5,0.14,,1849.5,CrossEntropyLoss,{}
5,3.6866,36.66,0.1,0.5,0.14,,1878.2,CrossEntropyLoss,{}
6,3.5461,39.53,0.1,0.5,0.14,,1837.0,CrossEntropyLoss,{}
7,3.4037,42.49,0.1,0.5,0.14,,1892.2,CrossEntropyLoss,{}
8,3.3164,44.4,0.1,0.5,0.14,,1943.5,CrossEntropyLoss,{}
9,3.2513,45.78,0.09,0.6,0.14,,2027.1,CrossEntropyLoss,{}
10,3.2054,46.77,5.16,12.94,5.16,,2102.1,CrossEntropyLoss,{}
11,3.1675,47.63,29.36,53.92,29.36,,2159.3,CrossEntropyLoss,{}
12,3.1378,48.26,42.34,68.47,42.34,,2233.8,CrossEntropyLoss,{}
13,3.1111,48.83,49.76,75.15,49.76,,2296.6,CrossEntropyLoss,{}
14,3.0881,49.35,49.79,74.8,49.79,,2226.9,CrossEntropyLoss,{}
15,3.0705,49.71,56.6,81.26,56.6,,2326.8,CrossEntropyLoss,{}
16,3.0527,50.1,56.31,80.49,56.6,,2358.7,CrossEntropyLoss,{}
17,3.0394,50.4,56.96,81.26,56.96,,2359.6,CrossEntropyLoss,{}
18,3.0266,50.72,56.42,79.99,56.96,,2319.2,CrossEntropyLoss,{}
19,3.0122,51.04,57.46,81.34,57.46,,2222.0,CrossEntropyLoss,{}
20,3.0009,51.3,59.75,82.74,59.75,,2132.0,CrossEntropyLoss,{}
21,2.9902,51.5,60.16,83.53,60.16,,1764.8,CrossEntropyLoss,{}
22,2.9792,51.73,59.81,83.02,60.16,,1829.2,CrossEntropyLoss,{}
23,2.9716,51.91,59.24,82.49,60.16,,1819.8,CrossEntropyLoss,{}
24,2.9631,52.19,57.62,81.46,60.16,,1789.9,CrossEntropyLoss,{}
25,2.9498,52.44,58.38,81.98,60.16,,1868.2,CrossEntropyLoss,{}
26,2.9439,52.6,57.79,81.52,60.16,,3279.5,CrossEntropyLoss,{}
27,2.9328,52.82,61.69,84.22,61.69,,1841.3,CrossEntropyLoss,{}
28,2.9219,53.06,62.18,84.8,62.18,,1803.5,CrossEntropyLoss,{}
29,2.9154,53.2,60.06,82.94,62.18,,1835.9,CrossEntropyLoss,{}
30,2.9077,53.39,61.72,84.67,62.18,,1813.3,CrossEntropyLoss,{}
31,2.8986,53.52,60.0,83.41,62.18,,1786.7,CrossEntropyLoss,{}
32,2.8867,53.86,61.17,83.91,62.18,,1809.6,CrossEntropyLoss,{}
33,2.8792,54.0,60.48,83.65,62.18,,1777.0,CrossEntropyLoss,{}
34,2.8706,54.16,63.3,85.56,63.3,,1759.4,CrossEntropyLoss,{}
35,2.8602,54.43,61.08,84.17,63.3,,1697.5,CrossEntropyLoss,{}
36,2.8525,54.59,64.22,86.31,64.22,,1759.9,CrossEntropyLoss,{}
