epoch,train_loss,train_acc,val_top1,val_top5,val_raw_top1,val_ema_top1,val_selected_source,best_val_top1,lr,epoch_time_sec,loss,loss_params
1,6.829796404262165,0.40899725274725274,1.008,3.198,1.008,0.1,raw,1.008,0.0208,1598.709300994873,ce,{}
2,5.5640465595434,8.083447802197803,16.314,36.214,16.314,0.172,raw,16.314,0.0406,1621.8238725662231,ce,{}
3,4.418866596483922,22.881953983516482,31.152,56.392,31.152,0.1,raw,31.152,0.060399999999999995,1595.6922328472137,ce,{}
4,3.8177359397070747,33.78751717032967,37.14,62.898,37.14,0.1,raw,37.14,0.0802,1610.8431010246277,ce,{}
5,3.5121773374211656,39.91466346153846,43.98,69.868,43.98,0.1,raw,43.98,0.1,1640.9573826789856,ce,{}
6,3.3500055843919188,43.31404532967033,44.964,71.122,44.964,0.1,raw,44.964,0.09997266314041764,1632.7199091911316,ce,{}
7,3.192681198486915,46.72845123626374,47.216,72.71,47.216,0.1,raw,47.216,0.09989068245412512,1591.006522655487,ce,{}
8,3.102525420503302,48.74896978021978,49.36,74.774,49.36,0.1,raw,49.36,0.0997541475857993,1626.1825015544891,ce,{}
9,3.0328756841198428,50.30279876373626,51.222,76.182,51.222,0.094,raw,51.222,0.09956320783431409,1635.7736728191376,ce,{}
10,2.980873289553674,51.472269917582416,51.592,76.574,51.592,0.458,raw,51.592,0.0993180719894844,1601.4518384933472,ce,{}
11,2.938555737746941,52.378949175824175,52.196,77.41,52.196,5.758,raw,52.196,0.09901900810375752,1550.8964970111847,ce,{}
12,2.906223723233401,53.152815934065934,53.336,77.878,53.336,32.436,raw,53.336,0.09866634319910166,1546.724324464798,ce,{}
13,2.8781332701379125,53.84263392857143,52.846,77.498,52.846,51.174,raw,53.336,0.09826046290941227,1547.9149436950684,ce,{}
14,2.8530584703172956,54.3282967032967,53.368,78.372,53.368,47.874,raw,53.368,0.0978018110588271,1508.371239900589,ce,{}
15,2.833664474801703,54.840401785714285,54.966,78.77,52.084,54.966,ema,54.966,0.09729088917641086,1457.3819515705109,ce,{}
16,2.8153294349502733,55.215831043956044,54.886,78.914,54.886,53.404,raw,54.966,0.09672825594774073,1503.1448352336884,ce,{}
17,2.798012693950108,55.64371565934066,54.516,79.19,54.516,52.854,raw,54.966,0.09611452660399174,1474.8166601657867,ce,{}
