epoch,train_loss,train_acc,val_top1,val_top5,val_raw_top1,val_ema_top1,val_selected_source,best_val_top1,lr,epoch_time_sec,loss,loss_params
1,6.861413647738093,0.2639811669497452,0.808,3.12,0.808,0.1,raw,0.808,0.0208,1896.9900496006012,ce,{}
2,6.102185639888212,2.957650614446998,11.7,29.354,11.7,0.152,raw,11.7,0.0406,1839.9742414951324,ce,{}
3,5.347295463877203,8.78584274153262,23.918,48.356,23.918,0.098,raw,23.918,0.060399999999999995,1815.9455904960632,ce,{}
4,4.857309905283815,14.291902912378859,33.138,59.656,33.138,0.1,raw,33.138,0.0802,1829.8780281543732,ce,{}
5,4.59022115541512,17.693997277450293,37.644,64.84,37.644,0.1,raw,37.644,0.1,1863.9886002540588,ce,{}
6,4.401850067612793,19.93822747027675,36.986,63.682,36.986,0.1,raw,37.644,0.09997266314041764,1853.091325044632,ce,{}
7,4.254861493462722,22.337396343291037,41.302,68.118,41.302,0.1,raw,41.302,0.09989068245412512,1870.9819571971893,ce,{}
8,4.170437921878877,23.743708787091617,45.342,72.118,45.342,0.1,raw,45.342,0.0997541475857993,1830.1742334365845,ce,{}
9,4.1141907627592795,24.508645344190228,47.184,73.86,47.184,0.1,raw,47.184,0.09956320783431409,1836.8495125770569,ce,{}
10,4.050142714379134,25.395737586172444,48.986,75.44,48.986,1.836,raw,48.986,0.0993180719894844,1859.6156318187714,ce,{}
11,4.010310397327738,25.89091692476771,49.688,75.924,49.688,27.646,raw,49.688,0.09901900810375752,1862.6514070034027,ce,{}
12,3.9843407866837843,26.72259029373564,51.326,77.234,51.326,44.0,raw,51.326,0.09866634319910166,1852.9505126476288,ce,{}
13,3.966402026582448,26.882368368468377,52.36,77.498,51.1,52.36,ema,52.36,0.09826046290941227,1819.0603301525116,ce,{}
14,3.9176662296476583,27.055181586572086,52.146,77.13,51.548,52.146,ema,52.36,0.0978018110588271,1634.1323261260986,ce,{}
15,3.9128617997149964,27.2270581476671,54.306,79.222,51.948,54.306,ema,54.306,0.09729088917641086,1563.774998664856,ce,{}
16,3.887482088206948,27.719349460485564,53.948,79.124,51.182,53.948,ema,54.306,0.09672825594774073,1646.2733075618744,ce,{}
17,3.8633085119937465,27.891928514337096,54.24,78.46,52.35,54.24,ema,54.306,0.09611452660399174,1745.4138181209564,ce,{}
18,3.8573060092874574,27.81574707763013,54.042,78.394,53.336,54.042,ema,54.306,0.09545037224919059,1677.9668099880219,ce,{}
19,3.8409076220792233,28.10400327205515,53.888,79.396,53.888,53.622,raw,54.306,0.09473651912637325,1742.0706853866577,ce,{}
20,3.827111863127621,28.34456801378759,57.044,81.144,54.24,57.044,ema,57.044,0.09397374782344883,1731.7028472423553,ce,{}
21,3.820627398585711,28.71056673993406,58.344,82.41,54.564,58.344,ema,58.344,0.0931628924196382,1761.4779665470123,ce,{}
22,3.8009850313547,28.977435932660605,57.186,81.004,54.106,57.186,ema,58.344,0.09230483957342053,1818.4597437381744,ce,{}
23,3.792759325230606,29.19083762114097,57.856,81.732,52.948,57.856,ema,58.344,0.0914005275529854,1806.4347767829895,ce,{}
24,3.7789979466954624,29.25257892896393,59.178,82.624,54.436,59.178,ema,59.178,0.09045094521025016,1814.1802949905396,ce,{}
25,3.777609405751971,29.426641023079227,58.582,82.35,44.824,58.582,ema,59.178,0.08945713089956496,1826.4588623046875,ce,{}
26,3.762195880339927,29.37824707763013,59.814,83.274,54.634,59.814,ema,59.814,0.08842017134228751,1829.7632369995117,ce,{}
27,3.764676813741511,29.363572784493954,60.078,83.49,56.07,60.078,ema,60.078,0.08734120043846919,1853.900105714798,ce,{}
28,3.7586007953369007,29.255310845239286,59.478,82.956,55.226,59.478,ema,60.078,0.08622139802695204,1836.3267621994019,ce,{}
29,3.7349494398741925,29.727698196623038,59.87,83.414,56.57,59.87,ema,60.078,0.08506198859523227,2014.2014248371124,ce,{}
30,3.7248973612280825,29.855629933060246,58.336,82.01,56.644,58.336,ema,60.078,0.08386423994050123,2184.019670724869,ce,{}
31,3.7300166675934654,29.85906434209212,61.844,84.414,55.466,61.844,ema,61.844,0.08262946178332765,2185.487582921982,ce,{}
32,3.7133598910045977,30.060601708462382,59.484,82.684,56.712,59.484,ema,61.844,0.0813590043354976,1969.791390657425,ce,{}
33,3.714612593885687,30.032423943450894,59.706,83.122,56.934,59.706,ema,61.844,0.0800542568235776,1856.4346990585327,ce,{}
34,3.6772144848631747,30.176434958537317,61.96,84.438,56.786,61.96,ema,61.96,0.07871664596981583,1818.496015548706,ce,{}
35,3.6949490999672867,30.388587771006094,61.992,84.824,57.99,61.992,ema,61.992,0.07734763443204229,1864.5193061828613,ce,{}
36,3.6749948642032106,30.630167224497953,57.928,82.36,57.928,57.684,raw,61.992,0.07594871920427386,1886.6647984981537,ce,{}
37,3.6715834720328395,30.690425492057148,63.264,85.516,53.156,63.264,ema,63.264,0.07452142997977347,1876.6296637058258,ce,{}
38,3.6606047952647978,31.430696747926866,61.412,84.584,58.278,61.412,ema,63.264,0.07306732747835289,1868.1875829696655,ce,{}
39,3.632205708113354,31.207694325107404,60.88,83.928,59.444,60.88,ema,63.264,0.07158800173974846,1900.7155752182007,ce,{}
40,3.6320156003464374,31.224085822759516,61.78,84.642,56.088,61.78,ema,63.264,0.07008507038493614,1819.751681804657,ce,{}
