epoch,train_loss,train_acc,val_top1,val_top5,best_val_top1,lr,epoch_time_sec,loss,loss_params
1,6.890813544004015,0.18740945648915974,0.088,0.508,0.088,0.0208,2012.6436700820923,ce,{}
2,6.386743529715468,1.5664027375362175,0.172,0.608,0.172,0.0406,2133.8845217227936,ce,{}
3,5.767667230090987,5.428785967629134,0.092,0.376,0.172,0.060399999999999995,2116.770928621292,ce,{}
4,5.300658729100444,10.129789439504446,0.1,0.5,0.172,0.0802,2126.347393989563,ce,{}
5,5.013394025789654,13.426666000599461,0.1,0.5,0.172,0.1,2113.3981235027313,ce,{}
6,4.808669630541932,15.827239859126786,0.1,0.5,0.172,0.09997266314041764,2101.506171941757,ce,{}
7,4.656385750665282,18.169506818863024,0.1,0.5,0.172,0.09989068245412512,2139.7429115772247,ce,{}
8,4.566061440280225,19.50681886302328,0.1,0.5,0.172,0.0997541475857993,2075.028655529022,ce,{}
9,4.486772289642005,20.778252697572185,0.1,0.496,0.172,0.09956320783431409,2048.585713863373,ce,{}
10,4.424376355504784,21.425638800079927,6.702,18.41,6.702,0.0993180719894844,2052.7824511528015,ce,{}
11,4.384928903542552,22.04695461584574,29.56,54.244,29.56,0.09901900810375752,2052.7012898921967,ce,{}
12,4.351224262357794,22.573355854730742,38.998,65.584,38.998,0.09866634319910166,2051.345260620117,ce,{}
13,4.334988468855051,22.69004770706364,46.438,72.176,46.438,0.09826046290941227,2094.382149219513,ce,{}
14,4.310477444336886,23.282873538815068,50.268,75.676,50.268,0.0978018110588271,2073.7309954166412,ce,{}
15,4.287960323518968,23.862742281946247,53.692,78.648,53.692,0.09729088917641086,2056.425246477127,ce,{}
16,4.2604042635012584,23.768452143071237,51.414,77.212,53.692,0.09672825594774073,2117.1724183559418,ce,{}
17,4.246984056164447,24.010812144070336,52.12,77.228,53.692,0.09611452660399174,2137.114163160324,ce,{}
18,4.221963767036357,24.311479043860526,50.452,75.814,53.692,0.09545037224919059,2181.291979789734,ce,{}
19,4.2293956417674865,24.27885215805775,56.534,81.078,56.534,0.09473651912637325,2160.1711950302124,ce,{}
20,4.201440869350511,24.62244917074633,53.898,79.032,56.534,0.09397374782344883,2029.7217478752136,ce,{}
21,4.187739332211293,24.99570698871016,56.372,80.934,56.534,0.0931628924196382,2206.357504606247,ce,{}
